asignatura,año,tipo,ccaa,link,operativo
Coro y Técnica Vocal II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_coro_tecnica.zip,si
Dibujo Artístico II,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_dibujo_artistico.zip,si
Dibujo Artístico II,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_dibujo_artistico.zip,si
Dibujo Artístico II,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_dibujo_artistico.zip,si
Dibujo Artístico II,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_dibujo_artistico.zip,si
Dibujo Artístico II,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_dibujo_artistico.zip,si
Dibujo Artístico II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_dibujo_artistico.zip,si
Dibujo Técnico II,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_dibujo_tecnico.zip,si
Dibujo Técnico II,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_dibujo_tecnico.zip,si
Dibujo Técnico II,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_dibujo_tecnico.zip,si
Dibujo Técnico II,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_dibujo_tecnico.zip,si
Dibujo Técnico II,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_dibujo_tecnico.zip,si
Dibujo Técnico II,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_dibujo_tecnico.zip,si
Dibujo Técnico II,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_dibujo_tecnico.zip,si
Dibujo Técnico II,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_dibujo_tecnico.zip,si
Dibujo Técnico II,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_dibujo_tecnico.zip,si
Dibujo Técnico II,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_dibujo_tecnico_aplicado.zip,si
Dibujo Técnico II,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_dibujo_tecnico.zip,si
Dibujo Técnico II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_dibujo_tecnico_aplicado.zip,si
Dibujo Técnico II,2025,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2025_dibujo_tecnico.zip,si
Diseño,2015,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2015_diseno.zip,si
Diseño,2016,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2016_diseno.zip,si
Diseño,2017,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2017_diseno.zip,si
Diseño,2018,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2018_diseno.zip,si
Diseño,2019,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2019_diseno.zip,si
Diseño,2020,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2020_diseno.zip,si
Diseño,2021,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2021_diseno.zip,si
Diseño,2022,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2022_diseno.zip,si
Diseño,2023,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2023_diseno.zip,si
Diseño,2024,Ordinaria,Andalucía,https://www.juntadeandalucia.es/economiaconocimientoempresasyuniversidad/sguit/examanes_anios_anteriores/selectividad/sel_2024_diseno.zip,si
